timestamp,src,dest,speed_src,speed_dest,posx_src,posy_src,posz_src,posx_dest,posy_dest,posz_dest,traffic_type,packet_size,interval,serving_gnb,distance,sinr_dl,sinr_ulmac_thr_dl,mac_thr_ul,mac_delay_dl,mac_delay_ul,blerDlSignal,blerUlSignal,packetLossDlSignal,packetLossUlSignal,
0.18,gnb,ue[6],0,60,1000,950,30,28.6262,496.547,2.52318,DL,1000,0.02,1,1072.35,10.3822,1.085,0,0,0,0,0,0,0,0
0.18,gnb,ue[7],0,60,1000,950,30,266.705,536.589,46.1853,DL,1000,0.02,1,841.957,15.806,17.4438,24838.3,0,0.004,0,0,0,0,0
0.18,gnb,ue[8],0,60,1000,950,30,727.011,458.445,47.4872,DL,1000,0.02,1,562.543,15.2614,11.2375,15670.6,0,0.004,0,0,0,0,0
0.18,gnb,ue[9],0,60,1000,950,30,910.36,556.88,3.52198,DL,1000,0.02,1,404.079,16.1694,32.3584,24423.5,0,0.004,0,0,0,0,0
0.18,gnb,ue[10],0,60,1000,950,30,188.776,473.351,33.8514,DL,1000,0.02,1,940.9,12.1235,8.76257,0,0,0,0,0,0,0,0
0.18,gnb,ue[11],0,60,1000,950,30,573.9,468.892,85.2736,DL,1000,0.02,1,645.043,15.6168,7.1294,23725.7,0,0.004,0,0,0,0,0
0.18,gnb,ue[12],0,60,1000,950,30,359.117,489.374,26.7989,DL,1000,0.02,1,789.251,13.7615,14.4563,8292.13,0,0.004,0,0,0,0,0
0.18,gnb,ue[13],0,60,1000,950,30,63.5879,502.325,82.1303,DL,1000,0.02,1,1039.23,14.1356,12.2525,7553.57,0,0.004,0,0,0,0,0
0.18,gnb,ue[14],0,60,1000,950,30,374.275,481.146,57.155,DL,1000,0.02,1,782.364,15.1061,1.81961,24257.3,0,0.004,0,0,0,0,0
0.18,gnb,ue[15],0,60,1000,950,30,976.864,500.426,0.159457,DL,1000,0.02,1,451.157,14.2504,8.49282,8527.78,0,0.004,0,0,0,0,0
0.18,gnb,ue[16],0,60,1000,950,30,134.762,493.737,77.9111,DL,1000,0.02,1,979.341,11.0633,4.3267,0,0,0,0,0,0,0,0
0.18,gnb,ue[17],0,60,1000,950,30,795.906,525.874,76.9247,DL,1000,0.02,1,473.011,15.162,12.5554,23284.9,0,0.01,0,0,0,0,0
0.18,gnb,ue[18],0,60,1000,950,30,547.609,461.443,97.8857,DL,1000,0.02,1,669.294,14.933,7.87874,18700.6,0,0.004,0,0,0,0,0
0.18,gnb,ue[19],0,60,1000,950,30,385.807,498.134,60.1944,DL,1000,0.02,1,763.104,16.0483,9.18546,24838.3,0,0.004,0,0,0,0,0
0.2,gnb,ue[0],0,60,1000,950,30,468.073,552.319,52.3156,DL,1000,0.02,1,664.525,13.4515,6.29731,0,0,0,0,0,0,0,0
0.2,gnb,ue[1],0,60,1000,950,30,261.717,546.931,60.5043,DL,1000,0.02,1,841.699,13.8666,5.61537,0,0,0,0,0,0,0,0
0.2,gnb,ue[2],0,60,1000,950,30,309.504,461.972,57.7284,DL,1000,0.02,1,846.005,14.1236,2.39785,17989.1,0,0.004,0,0,0,0,0
0.2,gnb,ue[3],0,60,1000,950,30,168.906,478.342,15.9469,DL,1000,0.02,1,955.707,14.5109,4.39574,26135.7,0,0.011,0,0,0,0,0
0.2,gnb,ue[4],0,60,1000,950,30,406.67,481.065,42.682,DL,1000,0.02,1,756.373,14.1399,-2.4859,18487.4,0,0.004,0,0,0,0,0
0.2,gnb,ue[5],0,60,1000,950,30,266.742,501.153,13.1597,DL,1000,0.02,1,859.892,12.6776,6.70076,10956.8,0,0.004,0,0,0,0,0
0.2,gnb,ue[6],0,60,1000,950,30,27.4502,496.308,2.52318,DL,1000,0.02,1,1073.52,9.58298,4.02252,0,0,0,0,0,0,0,0
0.2,gnb,ue[7],0,60,1000,950,30,266.167,535.516,46.1853,DL,1000,0.02,1,842.953,16.2929,13.2569,26726.8,0,0.004,0,0,0,0,0
0.2,gnb,ue[8],0,60,1000,950,30,727.097,457.248,47.4872,DL,1000,0.02,1,563.548,15.1543,15.2805,20115.2,0,0.004,0,0,0,0,0
0.2,gnb,ue[9],0,60,1000,950,30,911.061,557.854,3.52198,DL,1000,0.02,1,402.976,16.849,30.12,27601.1,0,0.004,0,0,0,0,0
0.2,gnb,ue[10],0,60,1000,950,30,189.678,474.143,33.8514,DL,1000,0.02,1,939.722,11.7892,6.72178,0,0,0,0,0,0,0,0
0.2,gnb,ue[11],0,60,1000,950,30,573.501,467.761,85.2736,DL,1000,0.02,1,646.151,14.8842,6.09104,26630.8,0,0.004,0,0,0,0,0
0.2,gnb,ue[12],0,60,1000,950,30,360.108,490.051,26.7989,DL,1000,0.02,1,788.052,14.3676,11.5293,8292.13,0,0.004,0,0,0,0,0
0.2,gnb,ue[13],0,60,1000,950,30,63.7767,501.14,82.1303,DL,1000,0.02,1,1039.57,14.0168,8.73004,7553.57,0,0.004,0,0,0,0,0
0.2,gnb,ue[14],0,60,1000,950,30,373.676,480.106,57.155,DL,1000,0.02,1,783.466,15.0758,4.22428,27433.9,0,0.004,0,0,0,0,0
0.2,gnb,ue[15],0,60,1000,950,30,976.12,499.484,0.159457,DL,1000,0.02,1,452.134,14.5377,17.1717,10238.9,0,0.004,0,0,0,0,0
0.2,gnb,ue[16],0,60,1000,950,30,133.574,493.909,77.9111,DL,1000,0.02,1,980.31,13.3705,1.64685,0,0,0,0,0,0,0,0
0.2,gnb,ue[17],0,60,1000,950,30,794.881,525.249,76.9247,DL,1000,0.02,1,474.014,15.4056,11.2016,26556.1,0,0.004,0,0,0,0,0
0.2,gnb,ue[18],0,60,1000,950,30,548.788,461.667,97.8857,DL,1000,0.02,1,668.334,14.3191,9.37947,26247.5,0,0.004,0,0,0,0,0
0.2,gnb,ue[19],0,60,1000,950,30,384.654,497.802,60.1944,DL,1000,0.02,1,764.229,15.8804,9.47617,27876.3,0,0.004,0,0,0,0,0
0.22,gnb,ue[0],0,60,1000,950,30,467.272,553.212,52.3156,DL,1000,0.02,1,664.633,13.7744,6.70003,0,0,0,0,0,0,0,0
0.22,gnb,ue[1],0,60,1000,950,30,262.837,547.363,60.5043,DL,1000,0.02,1,840.51,13.6342,7.04806,0,0,0,0,0,0,0,0
0.22,gnb,ue[2],0,60,1000,950,30,310.164,460.969,57.7284,DL,1000,0.02,1,846.046,14.296,0.289708,17989.1,0,0.004,0,0,0,0,0
0.22,gnb,ue[3],0,60,1000,950,30,168.828,479.54,15.9469,DL,1000,0.02,1,955.184,14.539,4.85354,26135.7,0,0.011,0,0,0,0,0
0.22,gnb,ue[4],0,60,1000,950,30,405.634,480.46,42.682,DL,1000,0.02,1,757.562,14.6009,-0.968757,25584.1,0,0.004,0,0,0,0,0
0.22,gnb,ue[5],0,60,1000,950,30,266.605,502.345,13.1597,DL,1000,0.02,1,859.387,14.2955,9.83409,13965.7,0,0.01,0,0,0,0,0
